Date, Open, High, Low, Close
10/21/2009,1089.16,1101.36,1080.77,1081.4
10/20/2009,1097.65,1098.64,1086.16,1091.06
10/19/2009,1090.58,1100.17,1086.48,1097.91
10/16/2009,1087.5,1094.67,1081.53,1087.68
10/15/2009,1087.3,1096.56,1086.41,1096.56
10/14/2009,1086.31,1093.17,1078.68,1092.02
10/13/2009,1072.58,1075.3,1066.71,1073.19
10/12/2009,1076.27,1079.46,1071.63,1076.19
10/9/2009,1065.25,1071.51,1063,1071.49
10/8/2009,1064.77,1070.67,1060.03,1065.48
10/7/2009,1051.92,1058.02,1050.1,1057.58
10/6/2009,1047.85,1060.55,1042.02,1054.72
10/5/2009,1029.67,1042.58,1025.92,1040.46
10/2/2009,1020.49,1030.6,1019.95,1025.21
10/1/2009,1052.8,1054.91,1029.45,1029.85
9/30/2009,1062.76,1063.4,1046.47,1057.08
9/29/2009,1064.87,1069.62,1057.83,1060.61
9/28/2009,1049.36,1065.13,1045.38,1062.98
9/25/2009,1047.78,1053.47,1041.17,1044.38
9/24/2009,1064.03,1066.29,1045.85,1050.78
9/23/2009,1073.54,1080.15,1060.39,1060.87
9/22/2009,1070.66,1073.81,1066.35,1071.66
9/21/2009,1060.03,1067.28,1057.46,1064.66
9/18/2009,1071.52,1071.52,1064.27,1068.3
9/17/2009,1066.62,1074.77,1061.2,1065.49
9/16/2009,1057.21,1068.76,1052.87,1068.76
9/15/2009,1049.71,1056.04,1043.42,1052.63
9/14/2009,1035,1049.74,1035,1049.34
9/11/2009,1045.62,1048.18,1038.4,1042.73
9/10/2009,1033.77,1044.14,1028.04,1044.14
9/9/2009,1026.82,1036.34,1023.97,1033.37
9/8/2009,1024.75,1026.07,1018.67,1025.39
9/4/2009,1004.45,1016.48,1001.65,1016.4
9/3/2009,999.73,1003.43,992.25,1003.24
9/2/2009,993.53,1000.34,991.97,994.75
9/1/2009,1015.88,1028.45,996.28,998.04
8/31/2009,1019.42,1025.21,1014.62,1020.62
8/28/2009,1037.81,1039.47,1023.13,1028.93
8/27/2009,1026.23,1033.33,1016.2,1030.98
8/26/2009,1024.73,1032.47,1021.57,1028.12
8/25/2009,1030.52,1037.75,1026.21,1028
8/24/2009,1030.69,1035.82,1022.48,1025.57
8/21/2009,1020.85,1027.59,1009.06,1026.13
8/20/2009,997.39,1008.92,996.39,1007.37
8/19/2009,979.01,999.61,980.62,996.46
8/18/2009,982.68,991.2,980.62,989.67
8/17/2009,985.21,998.18,978.51,979.73
8/14/2009,1012.55,1012.6,994.6,1004.09
8/13/2009,1008.93,1012.78,993.36,1012.73
