Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Inflation Rate,2017-03-31T00:00:00,2.4,Monthly,CPI YOY,2017-04-14T12:26:00
United States,Inflation Rate,2017-04-30T00:00:00,2.2,Monthly,CPI YOY,2017-05-12T12:30:00
United States,Inflation Rate,2017-05-31T00:00:00,1.9,Monthly,CPI YOY,2017-06-14T12:29:00
United States,Inflation Rate,2017-06-30T00:00:00,1.6,Monthly,CPI YOY,2017-07-14T12:28:00
United States,Inflation Rate,2017-07-31T00:00:00,1.7,Monthly,CPI YOY,2017-09-14T12:30:00
United States,Inflation Rate,2017-08-31T00:00:00,1.9,Monthly,CPI YOY,2017-10-13T12:30:00
United States,Inflation Rate,2017-09-30T00:00:00,2.2,Monthly,CPI YOY,2017-11-15T13:30:00
United States,Inflation Rate,2017-10-31T00:00:00,2,Monthly,CPI YOY,2017-12-13T13:30:00
United States,Inflation Rate,2017-11-30T00:00:00,2.2,Monthly,CPI YOY,2018-01-12T13:30:00
United States,Inflation Rate,2017-12-31T00:00:00,2.1,Monthly,CPI YOY,2018-02-14T13:30:00
United States,Inflation Rate,2018-01-31T00:00:00,2.1,Monthly,CPI YOY,2018-03-13T12:30:00
United States,Inflation Rate,2018-02-28T00:00:00,2.2,Monthly,CPI YOY,2018-04-11T12:30:00
United States,Inflation Rate,2018-03-31T00:00:00,2.4,Monthly,CPI YOY,2018-05-10T12:30:00
United States,Inflation Rate,2018-04-30T00:00:00,2.5,Monthly,CPI YOY,2018-06-12T12:30:00
United States,Inflation Rate,2018-05-31T00:00:00,2.8,Monthly,CPI YOY,2018-07-12T12:30:00
United States,Inflation Rate,2018-06-30T00:00:00,2.9,Monthly,CPI YOY,2018-08-10T12:30:00
United States,Inflation Rate,2018-07-31T00:00:00,2.9,Monthly,CPI YOY,2018-09-13T12:30:00
United States,Inflation Rate,2018-08-31T00:00:00,2.7,Monthly,CPI YOY,2018-10-11T12:30:00
United States,Inflation Rate,2018-09-30T00:00:00,2.3,Monthly,CPI YOY,2018-11-14T13:30:00
United States,Inflation Rate,2018-10-31T00:00:00,2.5,Monthly,CPI YOY,2018-12-12T13:30:00
United States,Inflation Rate,2018-11-30T00:00:00,2.2,Monthly,CPI YOY,2018-12-12T13:30:00
United States,Inflation Rate,2018-12-31T00:00:00,1.9,Monthly,CPI YOY,2019-02-13T13:30:00
United States,Inflation Rate,2019-01-31T00:00:00,1.6,Monthly,CPI YOY,2019-03-12T12:30:00
United States,Inflation Rate,2019-02-28T00:00:00,1.5,Monthly,CPI YOY,2019-04-10T12:30:00
United States,Inflation Rate,2019-03-31T00:00:00,1.9,Monthly,CPI YOY,2019-05-10T12:30:00
United States,Inflation Rate,2019-04-30T00:00:00,2,Monthly,CPI YOY,2019-06-12T12:30:00
United States,Inflation Rate,2019-05-31T00:00:00,1.8,Monthly,CPI YOY,2019-07-11T12:30:00
United States,Inflation Rate,2019-06-30T00:00:00,1.6,Monthly,CPI YOY,2019-08-13T12:30:00
United States,Inflation Rate,2019-07-31T00:00:00,1.8,Monthly,CPI YOY,2019-09-12T12:30:00
United States,Inflation Rate,2019-08-31T00:00:00,1.7,Monthly,CPI YOY,2019-10-10T12:30:00
United States,Inflation Rate,2019-09-30T00:00:00,1.7,Monthly,CPI YOY,2019-11-13T13:30:00
United States,Inflation Rate,2019-10-31T00:00:00,1.8,Monthly,CPI YOY,2019-12-11T13:30:00
